NameString
Biruni
Gan De
Kathryn Aurora Gray
Karl Ludwig Harding
George William Hill
Martin van den Hove
Herbert Alonzo Howe
Edwin Powell Hubble
Alfred Harrison Joy
Lyudmila Karachkina
James Edward Keeler
Masahiro Koishikawa
Guillaume Le Gentil
Álvaro López-García
Edward Arthur Milne
Geminiano Montanari
Nilakantha Somayaji
_udmila Pajdu_áková
George Henry Peters
Pythagoras of Samos
Otto A. Rosenberger
James Vernon Scotti
Carl Keenan Seyfert
Richard Sheepshanks
William Henry Smyth
Karl Hermann Struve
Herbert Hall Turner
Neil deGrasse Tyson
Martin van den Hove
Julie Vinter Hansen
Thomas William Webb
Karl von Weizsäcker
Mary Watson Whitney
James Whitney Young
John August Anderson
Aristarchus of Samos
Halton Christian Arp
Jean-Baptiste Baille
Jocelyn Bell Burnell
William A. Bradfield
John Alfred Brashear
Ernest William Brown
Jérôme Eugène Coggia
George Howard Darwin
William Rutter Dawes
Annibale de Gasparis
Alexander D. Dubyago
Carl Friedrich Gauss
Peter Andreas Hansen
George Howard Herbig
Carl W. Hergenrother
Gustave-Adolphe Hirn
Christopher Hansteen
Pierre-Simon Laplace
Frederick C. Leonard
John William Lubbock
Lupitus of Barcelona
Paul Willard Merrill
Al-fadl ibn Naubakht
Leslie Copus Peltier
Maynard Pittendreigh
Norman Robert Pogson
Henry Norris Russell
Alexandre Schaumasse
Martin Schwarzschild
Vesto Melvin Slipher
Johann Daniel Titius
Sidney van den Bergh
Arno Arthur Wachmann
Aleksander Wolszczan
Franz Xaver von Zach
Charles Greeley Abbot
Abd Al-Rahman Al Sufi
Andronicus of Cyrrhus
Anders Jonas Ångström
Charles Thomas Bolton
William Robert Brooks
Bonaventura Cavalieri
Radha Gobinda Chandra
Andrew Ainslie Common
Philip Herbert Cowell
Thomas George Cowling
Gérard de Vaucouleurs
William Alfred Fowler
Joseph von Fraunhofer
Julio Garavito Armero
Sebastian von Hoerner
Milton Lasell Humason
Joseph-Louis Lagrange
Joseph Johann Littrow
Edward Walter Maunder
Joel Hastings Metcalf
William Wilson Morgan
Seth Barnes Nicholson
John Stanley Plaskett
Ptolemy of Alexandria
George Willis Ritchey
Ole Christensen Rømer
Edwin Ernest Salpeter
Giovanni Schiaparelli
Abd Al-Rahman Al Sufi
Horace Parnell Tuttle
George Van Biesbroeck
Gérard de Vaucouleurs
Frank Washington Very
Alfred Lothar Wegener
Fred Lawrence Whipple
Edward Emerson Barnard
Arthur Edwin Covington
Eugène Joseph Delporte
Johann Gottfried Galle
Benjamin Apthorp Gould
Alexander A. Gurshtein
Edward Robert Harrison
Maria Margarethe Kirch
Henrietta Swan Leavitt
Matthew Fontaine Maury
José Luis Ortiz Moreno
Charles Dillon Perrine
Eugene Merle Shoemaker
Robert Julius Trumpler
